ACCOUNTNO|COMPANYCODE|CONTRACTYPE|CONTRACTNO|CONTRACTNAME|BUSINESSAREA|RETOBJID|LOCATION|LOCATIONDESC|VALIDFROM|VALIDTO|CONTRSTARTDATE|FIRSTCONTREND|CONTRENDDATE|TERMINMONTHS|SECURITYDEPOSIT|UTILITYDEPOSIT|OPERATIONDEPOSIT
300000026|1000|M02|2200000000142|CIMB BANK (e-Banking & F&B - OldTown)|00001000|00010477|00130282|Lot MTBD S4 - E-Banking n F&B|00000000|20180630|20150701|20180630|20180630|35|03|01|01
300004909|1000|M03|2300000000065|Santai Reflexology|00001400|00018879|00130320|Lot No. S2-3-L22|00000000|0|20141001|20170930|20190930|59|00|00|00
300004058|1000|M02|2200000000091|Bumbu Desa|00001400|00016547|00130077|LOT NO. S2-3-L07|00000000|0|20140501|20170430|20190430|59|00|00|00
300002229|1000|M01|2100000000074|Carlo Rino|00001400|00015388|00130084|LOT NO. S2-3-L14|00000000|0|20140501|20170430|20190430|59|00|00|00
300003196|1000|M02|2200000000095|THE GREEN MARKET|00001400|00016397|00130099|LOT NO. S2-3-L38|00000000|0|20140501|20170430|20190430|59|00|00|00
300001975|1000|M02|2200000000096|Starbucks Coffee|00001400|00016513|00130047|LOT NO. S2-3-L01|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M01|2100000000083|Swarovski|00001000|00010879|00130416|SATP F05|00000000|0|20150701|20180630|20180630|35|00|00|00
MAN|1000|M02|2200000000079|Bibik Heritage|00001400|00016528|00130101|LOT NO S2-3-L40|00000000|0|20140501|20170430|20190430|59|00|00|00
300001092|1000|M02|2200000000080|McDonald's|00001400|00016410|00130160|LOT NO. S6-3-A09|00000000|0|20140501|20170430|20190430|59|00|00|00
300001520|1000|M02|2200000000086|Urban Food Court|00001400|00016394|00130166|LOT NO. S6-3-A21|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M05|2500000000141|Time To Time|00001000|00010881|00130418|SATP G01(a)|00000000|0|20150701|20180630|20180630|35|00|00|00
300001949|1000|M05|2500000000142|Made In Malaysia|00001000|00010883|00130420|SATP G01|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M05|2500000000146|DF Mall@CPI (Emporium)|00001000|00011027|00130020|CPI NA1|00000000|0|20150701|20180630|20180630|35|00|00|00
300004059|1000|M02|2200000000102|The Loaf|00001400|00016532|00130048|LOT NO. S2-3-L02|00000000|0|20140501|20170430|20190430|59|00|00|00
300001660|1000|M03|2300000000068|TALASCO DAGANG - BAGGAGE SOLUTION|00001000|00010864|00130401|Left Luggage  -SATP B03(a)|00000000|0|20150701|20180630|20180630|35|03|01|01
300002343|1000|M02|2200000000083|Old Town White Coffee|00001400|00016387|00130023|LOT NO. S2-2-IC05|00000000|0|20140501|20170430|20190430|59|00|00|00
300004064|1000|M02|2200000000098|puffy buffy|00001400|00015376|00130072|LOT NO. S3-2-A10|00000000|0|20140501|20170430|20190430|59|00|00|00
300004064|1000|M02|2200000000098|puffy buffy|00001400|00016398|00130100|LOT NO. S2-3-L39|00000000|0|20140501|20170430|20190430|59|00|00|00
300004066|1000|M03|2300000000049|Muamalat As-Sarf (MAS)|00001400|00015379|00130138|LOT NO. S6-2-A24|00000000|0|20140501|20170430|20190430|59|00|00|00
300004047|1000|M05|2500000000120|Lao Jie Fang|00001400|00016538|00130030|LOT NO. S7-1a-A02|00000000|0|20140501|20170430|20190430|59|00|00|00
300001715|1000|M02|2200000000112|Grandmama's|00001000|00010757|00130514|Lot SATMZ 5, Mezzanine Level, Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
300000026|1000|M03|2300000000073|CIMB BANK|00001000|00010667|00130488|LOT SATP D03|00000000|0|20150701|20180630|20180630|35|03|01|01
300003196|1000|M02|2200000000127|Flight Club|00001000|00010690|00130503|Lot SATMZ 15|00000000|20180430|20150501|20180430|20180430|35|03|01|01
300000204|1000|M03|2300000000076|Malayan Banking - Money Exchange MTBA 4|00001000|00010428|00130160|MTBA 4|00000000|0|20150701|20180630|20180630|35|03|01|01
300001631|1000|M02|2200000000136|NOOODLES|00001000|00010762|00130519|Lot SATMZ 7, Mezzanine Level Satellite|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M05|2500000000140|Perfumes & Cosmetics (MA(N) - Arrival)|00001000|00010952|00130106|MTBAI 8|00000000|0|20150701|20180630|20180630|35|00|00|00
300003156|1000|O01|5100000000183|Kashkha Thematic Promotion|00001000|00010544|00130312|Lot no 5|20151001|0|20150601|20150630|20171231|30|00|00|00
300001359|1000|M01|2100000000082|BRAUN BUFFEL|00001000|00010711|00130470|SATP AH 01|00000000|0|20150701|20180630|20180630|35|03|01|01
300002064|1000|M03|2300000000077|3R Corporation|00001000|00010664|00130487|SATP B01 (3R)|00000000|0|20150701|20180630|20180630|35|03|01|01
60500|1000|M05|2500000000137|Karyaneka (CP)|00001000|00011029|00130022|CPI 21b|00000000|0|20150701|20180630|20180630|35|03|01|01
300000321|1000|M02|2200000000139|MALAYSIAN WOK|00001000|00019732|00130766|MTBAL 07d|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M05|2500000000098|Timepieces|00001400|00016554|00130136|LOT NO. S6-2-A22|00000000|0|20140501|20170430|20190430|59|00|00|00
MAN|1000|M02|2200000000100|Marrybrown|00001400|00016412|00130052|LOT NO. S2-3-L04|00000000|0|20140501|20170430|20190430|59|00|00|00
300002820|1000|M02|2200000000157|The Coffee Bean & Tea Leaf|00001000|00010413|00130145|Lot MTBAL 07e|00000000|20181130|20151201|20181130|20181130|35|03|01|01
300002810|1000|M01|2100000000103|Bvlgari|00001000|00010701|00130460|SATP A04 (a)|00000000|0|20150701|20180630|20180630|35|03|01|01
300002827|1000|M05|2500000000166|Convenience Store (Syarikat Syidah - CP)|00001000|00010727|00130002|CPD 19a|00000000|0|20150701|20180630|20180630|35|03|01|01
300000078|1000|M05|2500000000179|Perfumes & Cosmetics (C&F - SAT)|00001000|00010696|00130455|SATP A04|00000000|0|20150901|20180831|20180831|35|03|01|01
300001302|1000|M01|2100000000089|Famous Amos (CP)|00001000|00010729|00130004|CPD NA 3|00000000|0|20150701|20180630|20180630|35|03|01|01
300002796|1000|M05|2500000000151|Cigar Boutique|00001000|00010717|00130475|SATP B05|00000000|0|20150701|20180630|20180630|35|03|01|01
MAN|1000|M02|2200000000147|FOOD GARDEN|00001000|00010949|00130103|Food Garden, Level 2, MTB|00000000|0|20150701|20180630|20180630|35|00|00|00
300002514|1000|M05|2500000000173|Khazanah (SAT)|00001000|00010854|00130446|SATP DE 06|00000000|0|20150701|20180630|20180630|35|03|01|01
300002344|1000|O01|5100000000210|Dunkin Donuts Promotion @ Level 5, KLIA|00001000|00010550|00130318|Lot no 15|00000000|0|20150828|20150930|20171231|28|00|00|00
300002796|1000|M01|2100000000107|Ralph Lauren|00001000|00010876|00130413|SATP H07|00000000|0|20150701|20180630|20180630|35|03|01|01
300003156|1000|M01|2100000000109|Kashkha|00001000|00010671|00130484|SATP C07|00000000|0|20150701|20180630|20180630|35|03|01|01
300003156|1000|M01|2100000000109|Kashkha|00001000|00010666|00130485|SATP C06|00000000|0|20150701|20180630|20180630|35|03|01|01
300001665|1000|M05|2500000000192|MICHAEL KORS & ROLEX|00001000|00010673|00130482|SATP B04|00000000|0|20160401|20190331|20190331|35|00|00|00
300004047|1000|M05|2500000000178|Lao Jie Fang (SAT 5)|00001000|00017834|00130725|Lot No SAT 5|00000000|0|20150901|20180630|20180630|33|03|01|01
300002796|1000|M01|2100000000088|Salvatore Ferragamo|00001000|00010695|00130454|SATP H06|00000000|0|20150701|20180630|20180630|35|03|01|01
300001960|1000|M05|2500000000149|Time (SAT)|00001000|00010718|00130476|SATP C04|00000000|0|20150701|20180630|20180630|35|03|01|01
300002329|1000|M05|2500000000157|7-Eleven|00001000|00010646|00130266|LOT MTBD R1, DEPARTURE LEVEL MTBD|00000000|0|20150701|20180630|20180630|35|03|01|01
300004356|1000|M03|2300000000059|Celcom Xclusive Partner|00001400|00016379|00130021|LOT NO. S2-2-IC03a|00000000|0|20140501|20170430|20190430|59|00|00|00
300004047|1000|M01|2100000000054|Sweets & Treats Packed Food and Titbit House|00001400|00016501|00130025|LOT NO. S5-1a-A02|00000000|0|20140501|20170430|20190430|59|00|00|00
300002344|1000|M02|2200000000069|Cafe Dunkin Donuts|00001400|00016416|00130034|LOT NO. S7-1a-A08|00000000|0|20140501|20170430|20190430|59|00|00|00
300002827|1000|M05|2500000000131|Needs|00001400|00016539|00130032|LOT NO. S7-1a-A04|00000000|20171231|20150101|20171231|20171231|35|00|00|00
300001302|1000|M05|2500000000083|Famous Amos|00001400|00016527|00130024|LOT NO. S5-1a-A01|00000000|0|20140501|20170430|20190430|59|00|00|00
300004064|1000|M02|2200000000098|puffy buffy|00001400|00016391|00130063|LOT NO. S3-1a-A15|00000000|0|20140501|20170430|20190430|59|00|00|00
300002584|1000|M05|2500000000187|Al Jasmine - News.com|00001000|00014598|00130671|Lot No 1&2, Lvl 2, Block C, STCP|00000000|0|20160201|20181231|20181231|34|03|01|01
